2020-02-11 13:42:32.210 [main] INFO  com.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2020-02-11 13:42:36.430 [main] INFO  com.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2020-02-11 13:42:36.433 [main] INFO  com.netflix.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2020-02-11 13:42:36.437 [main] INFO  com.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1581399756436 with initial instances count: 0
2020-02-11 13:42:36.444 [main] INFO  o.s.c.n.e.serviceregistry.EurekaServiceRegistry - Registering application CART-SERVER with eureka with status UP
2020-02-11 13:42:36.446 [main] INFO  com.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1581399756446, current=UP, previous=STARTING]
2020-02-11 13:42:36.448 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CART-SERVER/linpengcheng:cart-server:8003: registering service...
2020-02-11 13:42:36.477 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8003"]
2020-02-11 13:42:36.481 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8003"]
2020-02-11 13:42:36.482 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2020-02-11 13:42:36.530 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8003"]
2020-02-11 13:42:36.532 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Destroying ProtocolHandler ["http-nio-8003"]
2020-02-11 13:42:36.536 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-02-11 13:42:36.537 [main] INFO  o.s.c.n.e.serviceregistry.EurekaServiceRegistry - Unregistering application CART-SERVER with eureka with status DOWN
2020-02-11 13:42:36.542 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-02-11 13:42:36.573 [main] INFO  com.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
2020-02-11 13:42:39.576 [main] INFO  com.netflix.discovery.DiscoveryClient - Unregistering ...
2020-02-11 13:42:43.658 [main] INFO  com.netflix.discovery.DiscoveryClient - Completed shut down of DiscoveryClient
2020-02-11 13:42:57.934 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Disable delta property : false
2020-02-11 13:42:57.935 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2020-02-11 13:42:57.935 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2020-02-11 13:42:57.935 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Application is null : false
2020-02-11 13:42:57.935 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
